metric,vmin_v_per_m,vmax_v_per_m,scale_rule,slice_x_subject_mm,slice_y_subject_mm,slice_z_subject_mm
TI_directional,0.0,0.1635899841785431,joint GM P99 across TI 1:1 and TI 1:3 for this metric,-23.737457275390625,6.1875,0.35772705078125
TImax,0.0,0.25801682472229004,joint GM P99 across TI 1:1 and TI 1:3 for this metric,-23.737457275390625,6.1875,0.35772705078125
