electrode,position,pair,polarity,x_subject_mm,y_subject_mm,z_subject_mm
e1,FT7,1,1,-74.71184808310173,40.22317275161484,10.544382717961824
e2,Fp2,1,-1,32.364464719216585,113.82868875421651,18.583843461632327
e3,TP7,2,1,-79.1456241427148,-19.774731554221674,4.87834162680232
e4,TP8,2,-1,80.9202265331131,-20.065136345033526,4.519402057793743
